instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
bar-n100-1;100;1;6;733.00;300.00;118;1;206.39;68.04;0;391;25.56
bar-n100-2;100;1;5;554.00;300.54;116;1;191.92;77.60;2;408;31.02
bar-n100-3;100;1;6;747.00;300.00;123;1;219.35;70.74;2;298;9.90
bar-n100-4;100;1;12;1154.00;300.00;215;1;246.15;53.80;1;77;0.05
bar-n100-5;100;1;6;847.00;300.63;124;1;201.65;62.57;0;448;36.40
bar-n100-6;100;1;3;793.00;300.00;140;1;237.80;61.18;0;183;1.01
ber-n100-1;100;1;13;1952.00;300.00;210;2;250.07;49.92;0;44;0.01
ber-n100-2;100;1;6;1509.00;300.00;146;1;254.76;44.79;0;138;0.44
ber-n100-3;100;1;3;713.00;300.00;157;1;236.08;63.82;1;42;0.09
ber-n100-4;100;1;3;494.00;300.00;102;1;228.79;69.79;0;199;1.41
ber-n100-5;100;1;5;945.00;300.00;151;1;244.43;54.35;0;190;1.21
ber-n100-6;100;1;14;2165.00;300.00;211;1;245.74;54.24;1;48;0.01
ber-n100-7;100;1;7;1937.00;300.00;165;1;260.25;39.64;0;69;0.10
nyc-n100-1;100;1;6;635.00;300.00;118;1;235.24;47.12;3;344;17.63
nyc-n100-2;100;1;4;568.00;300.00;46;1;274.93;24.60;0;120;0.46
nyc-n100-3;100;1;4;455.00;300.00;95;0;233.85;64.37;0;263;1.77
nyc-n100-4;100;1;2;535.00;300.00;356;1;197.75;102.24;0;15;0.01
nyc-n100-5;100;1;2;672.00;300.00;559;1;199.89;100.10;0;8;0.00
poa-n100-1;100;1;12;1649.00;300.00;178;1;254.12;45.83;0;58;0.04
poa-n100-2;100;1;15;1552.00;300.00;153;1;244.39;55.49;0;87;0.12
poa-n100-3;100;1;10;1303.00;300.00;202;2;253.28;46.68;0;56;0.03
poa-n100-4;100;1;7;1668.00;300.00;221;2;260.41;39.55;0;43;0.03
poa-n100-5;100;1;6;624.00;300.00;136;1;247.80;52.05;1;82;0.14
poa-n100-6;100;1;3;562.00;300.00;113;1;216.82;81.51;0;209;1.67
poa-n100-7;100;1;5;813.00;300.00;197;2;265.11;34.79;0;53;0.09
bar-n200-1;200;1;22;1832.00;900.00;383;1;663.24;225.54;0;290;11.17
bar-n200-2;200;1;23;2092.00;900.00;325;1;630.25;226.99;4;378;42.71
bar-n200-3;200;1;8;1644.00;900.00;323;2;732.61;158.53;2;422;8.81
bar-n200-4;200;1;13;838.00;930.11;96;1;204.00;136.59;2;754;589.49
bar-n200-5;200;1;5;854.00;900.00;166;0;592.05;269.05;0;806;38.85
bar-n200-6;200;1;9;855.00;907.72;129;1;315.79;201.94;0;943;389.97
bar-n200-7;200;1;11;1901.00;900.00;311;2;718.92;174.60;1;555;6.44
ber-n200-1;200;1;28;3201.00;900.00;257;1;724.94;174.06;2;180;0.97
ber-n200-2;200;1;12;3345.00;900.00;364;1;780.27;119.60;0;74;0.09
ber-n200-3;200;1;9;900.00;900.00;180;1;580.94;229.87;4;531;89.15
ber-n200-4;200;1;5;1084.00;900.00;185;1;712.40;182.91;4;367;4.66
ber-n200-5;200;1;27;3999.00;900.00;354;2;728.58;171.31;0;132;0.07
ber-n200-6;200;1;9;3016.00;900.00;316;2;764.48;135.00;3;145;0.49
nyc-n200-1;200;1;7;956.00;900.00;51;1;837.20;62.20;0;177;0.58
nyc-n200-2;200;1;8;1124.00;900.00;280;2;742.21;144.01;0;532;13.74
nyc-n200-3;200;1;8;950.00;900.00;62;1;818.49;72.80;0;361;8.69
nyc-n200-4;200;1;4;1037.00;900.00;72;1;763.85;134.51;0;276;1.62
nyc-n200-5;200;1;5;1195.00;900.62;153;1;652.97;132.12;0;704;115.50
poa-n200-1;200;1;25;2471.00;900.00;327;2;702.87;190.13;2;252;6.96
poa-n200-2;200;1;13;2353.00;904.62;157;1;487.95;143.22;3;659;273.42
poa-n200-3;200;1;22;1850.00;932.84;74;1;153.45;107.92;4;499;671.47
poa-n200-4;200;1;10;1163.00;900.00;293;1;713.11;185.61;0;219;1.24
poa-n200-5;200;1;15;2337.00;900.00;307;1;732.67;166.39;3;188;0.90
poa-n200-6;200;1;28;3074.00;900.00;264;1;752.24;147.30;6;172;0.43
poa-n200-7;200;1;11;2516.00;900.00;166;1;620.08;127.57;3;667;152.32
bar-n400-1;400;1;32;3098.00;911.74;83;1;342.65;209.00;4;657;360.05
bar-n400-2;400;1;30;2742.00;902.79;74;1;312.22;240.45;6;629;350.08
bar-n400-3;400;1;11;2562.00;900.00;81;1;550.53;239.72;0;763;109.70
bar-n400-4;400;1;18;1760.00;911.80;76;1;501.30;243.42;2;845;167.04
bar-n400-5;400;1;41;3391.00;900.00;131;1;579.09;275.95;13;536;44.90
bar-n400-6;400;1;21;2990.00;911.81;69;1;300.65;223.33;4;827;387.79
bar-n400-7;400;1;12;2953.00;900.00;72;1;699.37;186.03;1;635;14.55
ber-n400-1;400;1;34;5736.00;900.00;137;2;753.69;145.44;3;280;0.82
ber-n400-2;400;1;34;5604.00;900.00;116;1;718.37;179.86;7;374;1.72
ber-n400-3;400;1;43;3554.00;920.04;81;1;374.45;176.66;5;507;368.90
ber-n400-4;400;1;19;2216.00;900.00;107;1;524.59;178.53;4;710;196.84
ber-n400-5;400;1;27;5814.00;900.00;123;1;626.35;202.68;4;544;70.91
ber-n400-6;400;1;19;6665.00;900.00;153;2;803.03;96.68;1;130;0.24
ber-n400-7;400;1;20;6795.00;900.00;141;1;794.37;105.18;1;148;0.40
nyc-n400-1;400;1;13;1956.00;900.00;117;2;764.84;130.86;4;494;4.25
nyc-n400-2;400;1;14;2013.00;900.00;110;2;739.52;145.27;5;629;15.15
nyc-n400-3;400;1;7;1840.00;900.01;9;1;880.53;19.37;0;49;0.04
nyc-n400-4;400;1;7;1967.00;900.00;53;1;752.31;145.06;0;317;2.59
nyc-n400-5;400;1;7;2006.00;900.00;12;1;877.00;22.94;0;52;0.04
poa-n400-1;400;1;24;4627.00;900.00;130;2;639.69;221.60;6;746;38.66
poa-n400-2;400;1;41;3096.00;940.64;41;1;174.04;191.38;4;669;575.19
poa-n400-3;400;1;40;2844.00;908.47;48;1;193.39;235.70;5;585;479.35
poa-n400-4;400;1;19;2186.00;902.68;121;1;638.28;199.56;12;656;64.79
poa-n400-5;400;1;14;2318.00;900.00;156;2;719.41;175.46;8;411;5.07
poa-n400-6;400;1;42;5460.00;900.00;131;1;659.59;237.91;7;359;2.45
bar-n600-1;600;1;43;3683.00;1828.01;70;1;522.41;705.98;3;922;599.54
bar-n600-2;600;1;23;3931.00;1817.62;66;2;392.16;895.85;0;1137;529.52
bar-n600-3;600;1;23;3863.00;1807.13;74;1;449.49;929.39;0;1168;428.17
bar-n600-4;600;1;53;2864.00;1838.47;90;1;620.96;611.26;7;814;606.18
bar-n600-5;600;1;13;2614.00;1800.00;115;2;1040.32;724.68;4;1007;34.89
bar-n600-6;600;1;32;5016.00;1800.00;125;2;920.58;617.52;14;1109;261.81
bar-n600-7;600;1;32;4892.00;1812.45;99;2;705.93;605.63;5;993;500.80
ber-n600-1;600;1;47;7783.00;1800.00;123;2;1322.98;474.56;7;440;2.37
ber-n600-2;600;1;31;3837.00;1800.00;106;2;926.42;581.42;16;960;292.08
ber-n600-3;600;1;29;3964.00;1800.00;168;1;1232.20;539.45;19;690;28.24
ber-n600-4;600;1;76;11184.00;1800.00;150;2;1321.49;477.51;4;359;0.89
ber-n600-5;600;1;33;8596.00;1800.00;126;1;1272.15;524.00;11;513;3.75
ber-n600-6;600;1;37;10501.00;1800.00;164;1;1454.15;344.49;9;298;1.24
nyc-n600-1;600;1;21;3012.00;1800.00;91;2;1279.13;472.32;8;1008;48.47
nyc-n600-2;600;1;19;2747.00;1800.00;107;2;1431.74;337.30;9;875;30.87
nyc-n600-3;600;1;19;2756.00;1800.00;51;3;1521.00;276.40;3;439;2.54
nyc-n600-4;600;1;9;2559.00;1800.01;12;1;1703.96;95.88;0;74;0.08
nyc-n600-5;600;1;11;2957.00;1800.00;13;2;1688.51;111.28;0;118;0.16
poa-n600-1;600;1;55;6278.00;1800.00;104;2;873.72;740.50;14;727;185.70
poa-n600-2;600;1;26;5275.00;1800.00;73;2;529.70;772.74;2;1142;497.49
poa-n600-3;600;1;24;2222.00;1800.00;65;1;473.03;856.60;5;1046;470.25
poa-n600-4;600;1;27;3130.00;1802.54;101;2;650.73;795.50;11;963;356.21
poa-n600-5;600;1;20;2582.00;1800.00;95;1;771.05;702.23;10;1101;326.62
