instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
bar-n100-1;100;1;6;733.00;300.00;135;1;223.25;76.74;0;0;0.00
bar-n100-2;100;1;5;556.00;300.00;129;1;216.39;83.61;0;0;0.00
bar-n100-3;100;1;6;747.00;300.00;132;1;224.12;75.87;0;0;0.00
bar-n100-4;100;1;12;1160.00;300.00;228;1;241.98;58.02;0;0;0.00
bar-n100-5;100;1;6;847.00;300.00;146;1;225.02;74.97;0;0;0.00
bar-n100-6;100;1;3;793.00;300.00;139;1;239.21;60.78;0;0;0.00
ber-n100-1;100;1;13;1952.00;300.00;225;2;246.80;53.19;0;0;0.00
ber-n100-2;100;1;6;1509.00;300.00;146;1;253.28;46.71;0;0;0
ber-n100-3;100;1;3;713.00;300.00;152;1;236.43;63.56;0;0;0.00
ber-n100-4;100;1;3;494.00;300.00;104;1;229.47;70.52;0;0;0.00
ber-n100-5;100;1;5;945.00;300.00;151;1;243.93;56.06;0;0;0
ber-n100-6;100;1;14;2166.00;300.00;218;1;243.30;56.69;0;0;0.00
ber-n100-7;100;1;7;1937.00;300.00;157;1;261.95;38.05;0;0;0.00
nyc-n100-1;100;1;6;635.00;300.00;125;1;249.01;50.98;0;0;0.00
nyc-n100-2;100;1;4;568.00;300.00;45;1;276.14;23.85;0;0;0.00
nyc-n100-3;100;1;4;455.00;300.00;97;0;233.54;66.45;0;0;0.00
nyc-n100-4;100;1;2;535.00;300.00;357;1;198.31;101.69;0;0;0.00
nyc-n100-5;100;1;2;672.00;300.00;559;1;199.45;100.54;0;0;0.00
poa-n100-1;100;1;12;1649.00;300.00;182;1;253.59;46.40;0;0;0.00
poa-n100-2;100;1;15;1552.00;300.00;144;1;248.03;51.96;0;0;0.00
poa-n100-3;100;1;10;1303.00;300.00;205;2;252.69;47.30;0;0;0.00
poa-n100-4;100;1;7;1668.00;300.00;217;2;261.47;38.53;0;0;0.00
poa-n100-5;100;1;6;624.00;300.00;141;1;245.35;54.65;0;0;0.00
poa-n100-6;100;1;3;562.00;300.00;113;1;219.51;80.48;0;0;0.00
poa-n100-7;100;1;5;813.00;300.00;208;2;263.87;36.12;0;0;0.00
bar-n200-1;200;1;22;1832.00;900.00;359;1;682.71;217.25;0;0;0.00
bar-n200-2;200;1;23;2085.00;900.00;344;1;643.90;256.06;0;0;0.00
bar-n200-3;200;1;9;1554.00;900.00;211;1;631.45;268.52;0;0;0.00
bar-n200-4;200;1;13;842.00;900.00;249;1;502.08;397.89;0;0;0.00
bar-n200-5;200;1;5;854.00;900.00;176;0;618.41;281.56;0;0;0.00
bar-n200-6;200;1;9;855.00;900.00;129;1;540.89;359.08;0;0;0
bar-n200-7;200;1;11;1914.00;900.00;329;2;718.39;181.58;0;0;0.00
ber-n200-1;200;1;28;3201.00;900.00;263;1;722.97;177.00;0;0;0.00
ber-n200-2;200;1;12;3345.00;900.00;405;1;767.52;132.44;0;0;0.00
ber-n200-3;200;1;9;903.00;900.00;215;1;628.95;271.02;0;0;0.00
ber-n200-4;200;1;5;1085.00;900.00;188;1;707.37;192.60;0;0;0.00
ber-n200-5;200;1;27;3999.00;900.00;348;2;731.84;168.12;0;0;0.00
ber-n200-6;200;1;9;3016.00;900.00;343;2;748.67;151.29;0;0;0.00
nyc-n200-1;200;1;7;956.00;900.00;55;1;833.17;66.82;0;0;0.00
nyc-n200-2;200;1;8;1124.00;900.00;293;2;748.60;151.37;0;0;0.00
nyc-n200-3;200;1;8;950.00;900.00;65;1;821.60;78.38;0;0;0.00
nyc-n200-4;200;1;4;1037.00;900.00;74;1;764.44;135.54;0;0;0.00
nyc-n200-5;200;1;5;1195.00;900.00;153;1;750.38;149.60;0;0;0
poa-n200-1;200;1;25;2467.00;900.00;340;2;701.68;198.28;0;0;0.00
poa-n200-2;200;1;13;2347.00;900.00;237;1;683.50;216.47;0;0;0.00
poa-n200-3;200;1;22;1869.00;900.00;256;1;523.82;376.15;0;0;0.00
poa-n200-4;200;1;10;1163.00;900.00;307;1;704.10;195.87;0;0;0.00
poa-n200-5;200;1;15;2335.00;900.00;346;1;709.66;190.30;0;0;0.00
poa-n200-6;200;1;27;3160.00;900.00;302;2;729.90;170.07;0;0;0.00
poa-n200-7;200;1;11;2512.00;900.00;218;1;737.37;162.61;0;0;0.00
bar-n400-1;400;1;32;3085.00;900.00;141;1;535.22;364.73;0;0;0.00
