instance;size;rep;v;cost;time;iter;ges-num-reduced;ges-total-time;lns-total-time;sp-num-improve;sp-pool-size;sp-total-time
bar-n100-1;100;1;6;735.00;304.08;141;1;25.39;106.06;0;415;172.61
bar-n100-2;100;1;5;556.00;301.41;188;1;30.95;138.20;0;402;132.23
bar-n100-3;100;1;6;746.00;302.05;232;1;42.66;160.97;0;352;98.38
bar-n100-4;100;1;12;1160.00;300.00;724;2;103.85;195.84;3;90;0.20
bar-n100-5;100;1;6;838.00;300.00;152;1;28.54;95.79;0;447;175.65
bar-n100-6;100;1;3;788.00;300.00;442;1;73.67;214.80;0;334;11.46
ber-n100-1;100;1;13;1857.00;300.00;694;2;117.41;182.39;0;90;0.09
ber-n100-2;100;1;6;1491.00;300.00;373;1;78.73;179.82;0;305;41.39
ber-n100-3;100;1;3;713.00;300.00;444;1;72.93;226.83;0;54;0.16
ber-n100-4;100;1;3;494.00;300.00;287;1;87.00;207.79;1;266;5.15
ber-n100-5;100;1;5;944.00;300.00;403;1;85.65;199.36;1;373;14.93
ber-n100-6;100;1;14;2147.00;300.00;650;2;98.56;201.21;1;95;0.14
ber-n100-7;100;1;7;1935.00;300.00;474;1;101.94;172.48;1;279;25.51
nyc-n100-1;100;1;6;635.00;306.96;158;1;45.94;69.58;2;413;191.43
nyc-n100-2;100;1;4;567.00;300.00;126;1;228.51;67.21;0;270;4.25
nyc-n100-3;100;1;3;492.00;300.00;602;1;118.64;181.18;0;60;0.09
nyc-n100-4;100;1;2;556.00;300.00;378;1;82.45;216.74;0;97;0.73
nyc-n100-5;100;1;2;671.00;300.00;729;1;129.04;170.83;0;11;0.01
poa-n100-1;100;1;12;1590.00;300.00;602;1;102.60;197.04;2;109;0.26
poa-n100-2;100;1;15;1539.00;300.00;474;2;92.86;204.19;1;123;2.87
poa-n100-3;100;1;10;1301.00;300.00;678;2;113.65;186.09;0;113;0.17
poa-n100-4;100;1;7;1668.00;300.00;870;2;126.42;173.31;1;108;0.16
poa-n100-5;100;1;6;624.00;300.00;373;1;94.00;204.58;0;154;1.37
poa-n100-6;100;1;3;562.00;300.00;297;1;70.97;209.69;0;291;19.27
poa-n100-7;100;1;5;779.00;300.00;769;2;133.51;166.09;3;108;0.30
bar-n200-1;200;1;22;1839.00;940.41;119;1;53.02;126.97;6;464;760.36
bar-n200-2;200;1;23;2078.00;915.41;525;1;242.00;403.77;9;424;269.37
bar-n200-3;200;1;9;1564.00;901.04;119;1;69.37;213.04;0;1043;618.56
bar-n200-4;200;1;13;841.00;913.36;80;1;29.00;148.94;2;866;735.36
bar-n200-5;200;1;5;858.00;900.00;254;0;158.37;411.98;0;1249;329.49
bar-n200-6;200;1;9;863.00;911.35;128;1;41.52;203.85;0;1105;665.90
bar-n200-7;200;1;12;1772.00;900.31;86;1;60.89;65.98;1;855;773.41
ber-n200-1;200;1;28;3189.00;948.34;192;1;106.73;225.29;9;360;616.21
ber-n200-2;200;1;12;3292.00;900.00;972;1;425.04;471.82;4;301;2.72
ber-n200-3;200;1;9;899.00;900.00;130;1;71.81;248.42;3;829;579.68
ber-n200-4;200;1;5;1089.00;900.00;385;1;301.33;535.75;3;790;62.68
ber-n200-5;200;1;27;3944.00;900.00;724;1;329.74;537.06;6;329;32.82
ber-n200-6;200;1;10;3002.00;920.60;117;1;88.69;176.34;1;903;655.50
nyc-n200-1;200;1;7;943.00;900.00;104;1;609.51;206.92;0;664;83.50
nyc-n200-2;200;1;8;1104.00;901.49;382;2;280.78;243.28;4;2098;377.25
nyc-n200-3;200;1;7;1030.00;900.00;207;2;663.67;171.28;3;925;64.95
nyc-n200-4;200;1;4;1042.00;900.00;156;1;550.30;331.76;0;605;17.82
nyc-n200-5;200;1;5;1193.00;900.17;226;1;238.70;169.58;0;1119;491.78
poa-n200-1;200;1;25;2433.00;900.00;602;1;274.18;430.59;6;439;194.92
poa-n200-2;200;1;13;2361.00;921.77;74;1;41.75;130.55;0;766;749.43
poa-n200-3;200;1;22;1851.00;951.66;62;1;28.70;119.78;4;502;803.15
poa-n200-4;200;1;10;1164.00;900.00;172;1;83.84;191.87;3;777;624.21
poa-n200-5;200;1;15;2323.00;900.00;750;1;365.36;522.61;1;328;11.64
poa-n200-6;200;1;28;3081.00;921.69;270;1;153.39;226.77;15;409;541.39
poa-n200-7;200;1;11;2463.00;902.04;124;1;85.38;153.96;3;978;662.63
bar-n400-1;400;1;32;3123.00;922.34;38;1;48.83;208.62;0;752;664.80
bar-n400-2;400;1;30;2775.00;928.13;40;1;51.10;220.47;0;757;656.48
bar-n400-3;400;1;11;2573.00;914.28;103;1;151.92;309.98;0;1085;452.18
bar-n400-4;400;1;18;1786.00;914.41;60;1;88.39;207.21;1;975;618.70
bar-n400-5;400;1;41;3402.00;939.96;54;1;79.97;196.13;3;718;663.77
bar-n400-6;400;1;21;2986.00;937.46;48;2;51.67;249.54;0;878;636.17
bar-n400-7;400;1;12;2987.00;919.04;98;1;217.97;227.11;0;1094;473.79
ber-n400-1;400;1;34;5633.00;916.97;92;2;158.60;213.10;11;756;545.12
ber-n400-2;400;1;35;5595.00;951.47;37;2;88.83;148.43;1;760;714.14
ber-n400-3;400;1;43;3552.00;935.21;48;1;66.81;171.10;5;712;697.22
ber-n400-4;400;1;19;2217.00;929.26;73;1;86.28;261.36;1;1119;581.51
ber-n400-5;400;1;27;5714.00;953.47;50;1;67.14;188.13;0;805;698.12
ber-n400-6;400;1;19;6358.00;901.35;148;2;259.72;220.98;11;1156;420.44
ber-n400-7;400;1;20;6513.00;903.00;149;2;249.85;204.70;9;1154;448.22
nyc-n400-1;400;1;13;1977.00;901.60;217;2;430.63;250.38;3;1741;220.25
nyc-n400-2;400;1;14;1975.00;924.56;105;2;245.89;167.55;1;1345;510.95
nyc-n400-3;400;1;7;1861.00;900.01;27;1;810.60;88.80;0;170;0.52
nyc-n400-4;400;1;7;1982.00;900.00;98;1;716.82;163.57;0;670;19.41
nyc-n400-5;400;1;7;1922.00;900.00;31;1;820.75;78.51;0;192;0.67
poa-n400-1;400;1;25;4550.00;946.97;43;1;57.12;229.64;0;898;660.13
poa-n400-2;400;1;42;3109.00;906.97;29;1;36.92;230.61;1;720;639.37
poa-n400-3;400;1;40;2844.00;921.95;64;1;85.34;256.07;8;639;580.41
poa-n400-4;400;1;19;2187.00;925.02;73;2;83.34;223.39;1;1062;618.19
poa-n400-5;400;1;15;2303.00;914.87;65;1;129.23;221.79;0;907;563.75
poa-n400-6;400;1;42;5428.00;909.16;63;1;106.74;205.53;6;587;596.77
bar-n600-1;600;1;43;3746.00;1859.76;63;1;223.72;833.33;6;1014;802.44
bar-n600-2;600;1;24;3947.00;1838.96;57;1;187.78;581.72;0;1236;1069.20
bar-n600-3;600;1;24;3931.00;1831.44;51;1;192.51;687.26;0;1191;951.42
bar-n600-4;600;1;53;2880.00;1828.84;42;1;141.77;651.22;2;1231;1035.66
bar-n600-5;600;1;13;2631.00;1800.00;119;2;305.91;604.98;0;1535;888.60
bar-n600-6;600;1;33;4952.00;1800.00;44;1;134.63;684.26;0;1223;980.95
bar-n600-7;600;1;33;4888.00;1800.00;43;1;118.43;593.56;0;1251;1087.84
ber-n600-1;600;1;49;7699.00;1852.87;51;1;228.19;572.13;5;1072;1052.37
ber-n600-2;600;1;32;3882.00;1800.00;46;1;210.42;384.00;5;1119;1205.43
ber-n600-3;600;1;29;3987.00;1839.18;71;2;220.62;504.22;2;1511;1114.11
ber-n600-4;600;1;76;11120.00;1800.00;160;2;596.24;768.52;30;799;434.69
ber-n600-5;600;1;34;8567.00;1800.00;53;2;177.28;593.62;3;1235;1028.91
ber-n600-6;600;1;38;10371.00;1826.95;67;2;235.92;481.53;3;1221;1109.27
nyc-n600-1;600;1;21;3012.00;1831.22;81;1;586.61;365.61;2;1358;878.76
nyc-n600-2;600;1;19;2713.00;1800.00;127;2;554.33;522.35;2;1773;722.93
nyc-n600-3;600;1;20;2728.00;1800.00;66;1;850.91;391.61;0;1140;557.21
nyc-n600-4;600;1;9;2526.00;1800.01;27;3;1569.51;229.52;0;195;0.84
nyc-n600-5;600;1;11;2946.00;1800.00;36;1;1548.97;248.65;0;327;2.24
poa-n600-1;600;1;55;6257.00;1858.57;51;1;191.70;764.99;2;1054;901.68
poa-n600-2;600;1;27;5271.00;1833.59;52;1;180.33;582.14;0;1226;1070.90
poa-n600-3;600;1;24;2220.00;1849.10;67;1;179.24;760.46;0;1266;909.11
poa-n600-4;600;1;27;3153.00;1800.00;66;1;169.34;939.87;5;1218;690.54
